id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,number_of_reviews
30320,Centro,Sol,40.41476,-3.70418,Entire home/apt,157.0,173
40916,Centro,Universidad,40.42247,-3.70577,Entire home/apt,143.0,53
62423,Centro,Justicia,40.41884,-3.69655,Private room,65.0,249
70073,Centro,Universidad,40.42252,-3.7025,Entire home/apt,116.0,36
70310,Centro,Universidad,40.42252,-3.7025,Entire home/apt,79.0,31
72150,Centro,Embajadores,40.4115,-3.70449,Entire home/apt,300.0,133
86042,Centro,Embajadores,40.40939,-3.69812,Entire home/apt,166.0,233
120293,Centro,Palacio,40.41143,-3.70912,Private room,45.0,402
136058,Villaverde,Los Angeles,40.35761,-3.69723,Private room,24.0,97
167183,Hortaleza,Piovera,40.45575,-3.64912,Private room,90.0,52
199016,Centro,Universidad,40.4257,-3.70383,Private room,60.0,72
199201,Centro,Embajadores,40.41319,-3.7024,Private room,120.0,223
204570,Centro,Cortes,40.4152,-3.69668,Entire home/apt,160.0,107
205199,Centro,Universidad,40.42116,-3.70384,Entire home/apt,98.0,374
211444,Hortaleza,Canillas,40.45959,-3.64699,Private room,68.0,234
221017,Centro,Embajadores,40.4131,-3.70086,Entire home/apt,117.0,79
229664,Centro,Embajadores,40.4078,-3.70085,Entire home/apt,58.0,563
233011,Centro,Embajadores,40.41175,-3.70021,Entire home/apt,70.0,97
256004,Centro,Sol,40.41428,-3.70767,Entire home/apt,138.0,224
258713,Arganzuela,Chopera,40.39627,-3.69926,Entire home/apt,100.0,88
260951,Hortaleza,Valdefuentes,40.47189,-3.62966,Entire home/apt,288.0,150
261878,Centro,Universidad,40.42377853393555,-3.702780961990357,Entire home/apt,144.0,682
263748,Hortaleza,Valdefuentes,40.47142,-3.62881,Entire home/apt,114.0,163
281224,Centro,Palacio,40.41685,-3.70882,Entire home/apt,148.0,138
289555,Centro,Sol,40.41849,-3.70743,Private room,139.0,191
310333,Centro,Embajadores,40.40908377002321,-3.6951428069820658,Entire home/apt,64.0,181
336834,Centro,Justicia,40.42242,-3.69562,Entire home/apt,84.0,71
339144,Centro,Universidad,40.42838,-3.70345,Entire home/apt,90.0,151
339171,Centro,Cortes,40.41285,-3.69553,Entire home/apt,157.0,216
342095,Centro,Embajadores,40.41015,-3.69797,Entire home/apt,95.0,54
345249,Tetuán,Almenara,40.47148,-3.68946,Entire home/apt,160.0,32
361053,Retiro,Niño Jesús,40.40988,-3.67503,Entire home/apt,115.0,319
363476,Centro,Sol,40.41676,-3.70682,Private room,70.0,658
371532,Centro,Palacio,40.41944,-3.70945,Entire home/apt,110.0,188
376379,Centro,Embajadores,40.41115,-3.69673,Entire home/apt,70.0,44
402588,Centro,Sol,40.4149,-3.70331,Entire home/apt,144.0,253
404569,Centro,Universidad,40.42552,-3.70589,Entire home/apt,117.0,109
406341,Salamanca,Lista,40.42978,-3.67817,Private room,27.0,215
414763,Centro,Embajadores,40.41281,-3.70749,Entire home/apt,94.0,126
449218,Centro,Justicia,40.42849,-3.70183,Entire home/apt,64.0,497
459362,Centro,Sol,40.41592,-3.70177,Entire home/apt,129.0,149
462072,Centro,Palacio,40.40869,-3.71073,Entire home/apt,178.0,233
469231,Centro,Palacio,40.41941,-3.70823,Entire home/apt,139.0,82
470132,Centro,Embajadores,40.41018,-3.70164,Private room,108.0,54
471328,Centro,Sol,40.41628,-3.70364,Entire home/apt,126.0,213
479718,San Blas - Canillejas,Rosas,40.43202,-3.60353,Private room,91.0,33
491070,Centro,Universidad,40.42885,-3.70479,Entire home/apt,68.0,26
502918,Centro,Cortes,40.41155,-3.69492,Private room,50.0,185
506956,Ciudad Lineal,Concepción,40.44117,-3.64841,Entire home/apt,119.0,742
507614,Centro,Universidad,40.42323,-3.70434,Entire home/apt,114.0,54
510973,Centro,Cortes,40.41412,-3.70057,Private room,101.0,21
521367,Centro,Sol,40.4154,-3.70255,Entire home/apt,1100.0,146
522563,Centro,Palacio,40.41152,-3.70991,Entire home/apt,181.0,121
524003,Centro,Embajadores,40.41327,-3.70223,Private room,93.0,609
526513,Centro,Sol,40.41604,-3.70834,Entire home/apt,127.0,913
544736,Chamartín,Hispanoamérica,40.45841,-3.67598,Private room,38.0,100
552183,Centro,Cortes,40.41309,-3.69775,Private room,53.0,426
560941,Salamanca,Recoletos,40.42296831342578,-3.690953727258608,Entire home/apt,117.0,46
568190,Latina,Puerta del Angel,40.41016,-3.72863,Private room,19.0,195
588518,Centro,Palacio,40.4158,-3.70962,Entire home/apt,243.0,85
590710,Usera,San Fermín,40.36725,-3.68875,Private room,48.0,105
594298,Centro,Sol,40.41906,-3.70627,Entire home/apt,173.0,621
595055,Carabanchel,Comillas,40.39523,-3.7132,Private room,21.0,19
598771,Arganzuela,Palos de Moguer,40.40661,-3.6952,Entire home/apt,99.0,116
605339,Latina,Lucero,40.40743,-3.74293,Private room,29.0,295
628394,Centro,Sol,40.41730117797852,-3.702075958251953,Entire home/apt,406.0,92
644656,Ciudad Lineal,Pueblo Nuevo,40.42432,-3.6399,Private room,35.0,4
655514,Ciudad Lineal,Pueblo Nuevo,40.42432,-3.6399,Private room,30.0,5
684564,Centro,Palacio,40.41747,-3.70979,Entire home/apt,243.0,175
688795,Centro,Sol,40.41584,-3.70683,Entire home/apt,158.0,282
704155,Centro,Embajadores,40.41389,-3.70461,Entire home/apt,117.0,441
709208,Centro,Sol,40.41697,-3.70732,Entire home/apt,97.0,862
716292,Centro,Universidad,40.42616,-3.70263,Entire home/apt,147.0,120
726951,Centro,Universidad,40.42105,-3.70349,Entire home/apt,86.0,3
727588,Puente de Vallecas,San Diego,40.39368,-3.66975,Entire home/apt,52.0,33
730502,Centro,Palacio,40.41826,-3.71244,Entire home/apt,150.0,110
733365,Chamberí,Trafalgar,40.43653,-3.70421,Private room,43.0,119
747873,Centro,Universidad,40.42329,-3.70833,Entire home/apt,114.0,414
748627,Centro,Embajadores,40.40678,-3.69915,Entire home/apt,133.0,54
748854,Arganzuela,Acacias,40.40333,-3.7025,Private room,46.0,212
750251,Centro,Universidad,40.42063868265047,-3.705671159481837,Entire home/apt,156.0,1
750257,Centro,Universidad,40.42057,-3.70486,Entire home/apt,147.0,24
751527,Centro,Universidad,40.42482,-3.71084,Entire home/apt,274.0,103
751530,Centro,Sol,40.41429,-3.70649,Entire home/apt,63.0,622
754678,Centro,Cortes,40.41382,-3.69514,Entire home/apt,157.0,438
755587,Centro,Palacio,40.41497,-3.70853,Entire home/apt,63.0,579
758670,San Blas - Canillejas,Arcos,40.4267,-3.61631,Private room,42.0,31
761159,Centro,Sol,40.41399,-3.70776,Entire home/apt,90.0,662
763214,Centro,Palacio,40.40883973425041,-3.71506993463148,Entire home/apt,100.0,255
772646,Centro,Sol,40.41403,-3.70453,Entire home/apt,93.0,327
780397,Arganzuela,Palos de Moguer,40.40115,-3.69657,Entire home/apt,142.0,22
780743,Centro,Universidad,40.42398,-3.70451,Private room,42.0,33
793618,Centro,Palacio,40.41027,-3.7122,Entire home/apt,365.0,508
797030,San Blas - Canillejas,Simancas,40.43602,-3.63506,Entire home/apt,58.0,355
814870,Retiro,Jerónimos,40.4077,-3.68473,Private room,38.0,240
817184,Centro,Cortes,40.4112,-3.69567,Entire home/apt,54.0,370
817848,Centro,Justicia,40.42171,-3.69823,Entire home/apt,100.0,282
819738,Centro,Palacio,40.42033,-3.70862,Entire home/apt,150.0,92
821860,Centro,Embajadores,40.41013,-3.70453,Private room,65.0,475
833871,Centro,Universidad,40.42556,-3.70175,Entire home/apt,68.0,314
834562,Barajas,Timón,40.46913,-3.58258,Entire home/apt,148.0,310
834675,Puente de Vallecas,Numancia,40.39826,-3.66722,Private room,42.0,198
835333,Centro,Sol,40.41901,-3.70631,Entire home/apt,106.0,457
838698,Retiro,Pacífico,40.40646,-3.68289,Private room,38.0,932
838712,Retiro,Pacífico,40.40625,-3.68479,Private room,25.0,216
842078,Centro,Sol,40.41726,-3.70269,Entire home/apt,97.0,40
847273,Moratalaz,Marroquina,40.40721,-3.64994,Entire home/apt,249.0,229
848480,Centro,Sol,40.41888,-3.70645,Entire home/apt,295.0,119
862752,Arganzuela,Palos de Moguer,40.40196,-3.6974,Private room,46.0,125
864488,Centro,Embajadores,40.40956,-3.7009,Entire home/apt,93.0,592
874029,San Blas - Canillejas,Salvador,40.4449,-3.63508,Private room,90.0,95
874273,Centro,Sol,40.41596,-3.70431,Entire home/apt,193.0,188
874842,Salamanca,Goya,40.4256315,-3.6714298,Entire home/apt,83.0,4
886019,Chamberí,Gaztambide,40.43808364868164,-3.71245002746582,Entire home/apt,110.0,52
888289,Centro,Universidad,40.42656,-3.7036,Entire home/apt,268.0,543
903707,Centro,Embajadores,40.40766,-3.69952,Entire home/apt,85.0,86
